subject	model	motion	con	eff_est
sub-75	CueMod	opt3	Lgain-Neut	1.018934601676179
sub-75	CueMod	opt4	Lgain-Neut	1.0160431530675453
sub-75	FixMod	opt1	Lgain-Neut	0.7305515099826887
sub-75	FixMod	opt2	Lgain-Neut	0.657945328556013
sub-75	FixMod	opt3	Lgain-Neut	0.5437115001293926
sub-75	FixMod	opt4	Lgain-Neut	0.5311329662561822
sub-207	AntMod	opt1	Lgain-Neut	3.769280213336203
sub-207	AntMod	opt2	Lgain-Neut	3.4367830211664843
sub-207	AntMod	opt3	Lgain-Neut	3.2543264701908394
sub-207	AntMod	opt4	Lgain-Neut	3.027421516055821
sub-207	CueMod	opt1	Lgain-Neut	1.2921118710445323
sub-207	CueMod	opt2	Lgain-Neut	1.1635313603957664
sub-207	CueMod	opt3	Lgain-Neut	1.099015063083068
sub-207	CueMod	opt4	Lgain-Neut	1.02570339209045
sub-207	FixMod	opt1	Lgain-Neut	0.7395157142613011
sub-207	FixMod	opt2	Lgain-Neut	0.6812655283575815
sub-207	FixMod	opt3	Lgain-Neut	0.6423315718927446
sub-207	FixMod	opt4	Lgain-Neut	0.5921241414129721
sub-92	AntMod	opt1	Lgain-Neut	3.6614000943130387
sub-92	AntMod	opt2	Lgain-Neut	2.976010701554112
sub-92	AntMod	opt3	Lgain-Neut	2.618215549659859
sub-92	AntMod	opt4	Lgain-Neut	2.4811909878775893
sub-92	CueMod	opt1	Lgain-Neut	1.2598971785219635
sub-92	CueMod	opt2	Lgain-Neut	1.0289150557499354
sub-92	CueMod	opt3	Lgain-Neut	0.9250874517380301
sub-92	CueMod	opt4	Lgain-Neut	0.868121944997667
sub-92	FixMod	opt1	Lgain-Neut	0.7104064033948752
sub-92	FixMod	opt2	Lgain-Neut	0.5820398209945051
sub-92	FixMod	opt3	Lgain-Neut	0.4920807245538999
sub-92	FixMod	opt4	Lgain-Neut	0.47306555483950685
sub-37	AntMod	opt1	Lgain-Neut	3.55199762791053
sub-37	AntMod	opt2	Lgain-Neut	3.1276291390834787
sub-37	AntMod	opt3	Lgain-Neut	2.9349746100968073
sub-37	AntMod	opt4	Lgain-Neut	2.5284842467992132
sub-37	CueMod	opt1	Lgain-Neut	1.2188342493114055
sub-37	CueMod	opt2	Lgain-Neut	1.0635238025446412
sub-37	CueMod	opt3	Lgain-Neut	0.9966924838425575
sub-37	CueMod	opt4	Lgain-Neut	0.8680872566658095
sub-37	FixMod	opt1	Lgain-Neut	0.6985717171432486
sub-37	FixMod	opt2	Lgain-Neut	0.6235928327267246
sub-37	FixMod	opt3	Lgain-Neut	0.5847711251539971
sub-37	FixMod	opt4	Lgain-Neut	0.5027925785568576
sub-54	AntMod	opt1	Lgain-Neut	3.628637019385516
sub-54	AntMod	opt2	Lgain-Neut	3.3200897219862617
sub-54	AntMod	opt3	Lgain-Neut	3.098835550466812
sub-54	AntMod	opt4	Lgain-Neut	3.096968314920658
sub-54	CueMod	opt1	Lgain-Neut	1.2612414757338772
sub-54	CueMod	opt2	Lgain-Neut	1.1435502234683677
sub-54	CueMod	opt3	Lgain-Neut	1.0682229140815265
sub-54	CueMod	opt4	Lgain-Neut	1.0673197745514498
